([(338032, 28480), (338016, 28688)], 678460.8478353731)
([(-247568, 232800), (-247504, 232960)], 679726.9220123389)
([(-229008, 252176), (-228800, 252032)], 681038.8207724162)
([(-60592, 336560), (-60416, 336512)], 683863.2029753723)
([(38720, 340128), (38928, 340080)], 684625.5766148453)
([(42800, -340160), (42768, -339936)], 685457.841048114)
([(11616, -342896), (11808, -342816)], 686111.9942084299)
([(267056, -215952), (267264, -215856)], 686990.5774134827)
([(-341984, 38752), (-341856, 38960)], 688241.4906406617)
([(-228192, 257872), (-228128, 258048)], 688768.0421404856)
([(-296640, 175216), (-296448, 175280)], 688912.7993455125)
([(120688, 322912), (120880, 322800)], 689419.4177425217)
([(343696, 33616), (343712, 33824)], 690708.2989737493)
([(148592, 312128), (148640, 312336)], 691593.9207662833)
([(-183648, 294240), (-183728, 294464)], 693929.0508146295)
([(-113344, 328384), (-113136, 328240)], 694584.976932094)
([(-274064, 214240), (-273888, 214304)], 695630.2031033342)
([(9584, 347872), (9776, 347856)], 695997.3394995928)
([(-163008, 308352), (-162816, 308448)], 697569.7563921476)
([(-308944, -162288), (-308720, -162272)], 697744.9524013901)
([(-34464, 347776), (-34240, 347744)], 698905.1139565303)
([(-109840, -332944), (-110016, -332800)], 701107.5376390258)
([(21872, -350112), (22064, -350048)], 701537.1949993838)
([(-336560, 100544), (-336352, 100560)], 702320.0012589714)
([(-47488, 348976), (-47424, 349184)], 704581.9197967591)
([(-78016, 343776), (-77792, 343664)], 704875.8216768282)
([(-207088, 285328), (-206848, 285328)], 704976.113193767)
([(345648, -69808), (345728, -69616)], 705294.1703845819)
([(160096, 314432), (160304, 314576)], 705908.8032172321)
([(-294032, -195424), (-293872, -195392)], 705952.0259245513)
([(347152, -66224), (347248, -66032)], 706882.6297254289)
([(102224, 338704), (102432, 338768)], 707709.2776969592)
([(355024, 8512), (354912, 8704)], 710144.7406297126)
([(-349872, -61856), (-349680, -61792)], 710395.5443866657)
([(327488, -138896), (327376, -138688)], 711266.3055393919)
([(-203424, -292224), (-203232, -292272)], 712042.6325612187)
([(-261312, 241952), (-261120, 241936)], 712097.4689358878)
([(-62928, 350576), (-62896, 350800)], 712572.7874401079)
([(-166368, -315584), (-166336, -315344)], 713275.6127864316)
([(-351536, 73056), (-351424, 73232)], 718020.179812935)
([(-331440, 139392), (-331248, 139344)], 718922.2099447022)
([(-313536, -179008), (-313328, -178864)], 721824.6624776765)
([(-214192, -290544), (-214000, -290624)], 721875.8022704399)
([(-197808, 304240), (-197584, 304272)], 725687.0743938687)
([(-166576, 322640), (-166400, 322688)], 726168.9032122485)
([(-354784, -80048), (-354688, -79856)], 727268.7506145928)
([(249104, 264944), (249344, 264960)], 727494.8005089948)
([(-34096, 362336), (-34064, 362528)], 728061.5403792788)
([(53584, 360544), (53760, 360656)], 729144.8410102022)
([(-364928, 6000), (-364848, 6240)], 729878.6789634808)
([(365104, -11952), (365168, -11744)], 730656.3751078863)
([(-23536, 365888), (-23440, 366080)], 733473.864078026)
([(-147104, 336240), (-147184, 336464)], 734258.8772577096)
([(-310416, -196400), (-310176, -196400)], 734456.4568027855)
([(-311440, -196592), (-311200, -196592)], 736392.7239434368)
([(-100496, -356224), (-100320, -356112)], 740101.1161153174)
([(-370352, 2192), (-370112, 2144)], 740476.6967048885)
([(131744, 346448), (131792, 346672)], 741529.8772827792)
([(-86736, -360800), (-86528, -360832)], 742140.957705253)
([(340304, 149856), (340480, 149776)], 743805.2237319014)
([(173840, 328816), (174080, 328848)], 744023.0521802852)
([(362832, -81680), (363056, -81648)], 744035.9067886001)
([(-32480, 370544), (-32480, 370736)], 744120.8505887575)
([(-346288, 138576), (-346064, 138480)], 745728.7168098707)
([(-371424, 46384), (-371456, 46592)], 748675.6787475944)
([(311616, -207600), (311856, -207632)], 749089.4205162534)
([(242416, 286064), (242336, 286288)], 750047.5690039124)
([(261984, 268416), (262144, 268432)], 750277.2461967247)
([(-97104, -363184), (-97136, -362976)], 751689.7833332162)
([(-222672, 303984), (-222528, 304128)], 753659.92665598)
([(-332016, 178512), (-332160, 178688)], 754136.3315144307)
([(78352, 369504), (78448, 369696)], 755647.3270802519)
([(349552, 143408), (349728, 143488)], 755845.1119561244)
([(-375984, 39280), (-375952, 39504)], 756052.0602974519)
([(173312, -336560), (173264, -336336)], 756904.1908850096)
([(-204608, 318784), (-204624, 318992)], 757779.0349262581)
([(378656, -14032), (378624, -13824)], 757792.1864560973)
([(359712, -120992), (359568, -120832)], 758842.9195578664)
([(339312, -170336), (339488, -170352)], 759498.3591314761)
([(-29360, 378736), (-29408, 378976)], 759987.6009688268)
([(108400, -365360), (108560, -365440)], 762325.5857311194)
([(112928, -364720), (113168, -364688)], 763646.1802853158)
([(-211808, -320208), (-211712, -319984)], 767603.4061665166)
([(-111584, 368976), (-111568, 369200)], 771168.352891553)
([(209184, 324944), (209408, 324912)], 773002.0216591747)
([(364176, -130720), (364208, -130496)], 773806.8875644841)
([(361472, 139088), (361616, 139296)], 774825.0947603466)
([(381280, 75328), (381472, 75408)], 777503.670024963)
([(28448, 388432), (28464, 388656)], 779169.2598454866)
([(-387424, 44864), (-387504, 45088)], 780131.2793223205)
([(-385168, -61584), (-385264, -61424)], 780190.0183055357)
([(283504, -268496), (283680, -268432)], 781018.1784613312)
([(-165616, 354448), (-165376, 354368)], 782288.85945847)
([(347504, -179520), (347648, -179568)], 782419.641495228)
([(-367776, 133808), (-367616, 133696)], 782534.2077098602)
([(339808, -195216), (339968, -195024)], 783825.7002524957)
([(-47808, -389408), (-47600, -389392)], 784622.3093238818)
([(-61712, 388432), (-61744, 388624)], 786802.0151691162)
([(-329888, 214384), (-329728, 214544)], 786811.632882587)
([(-237952, -314096), (-237888, -313856)], 787875.2621631458)
([(188064, 346464), (188064, 346624)], 788570.386174957)
([(381120, 102768), (381056, 102976)], 789457.3426186722)
([(383744, 94000), (383664, 94224)], 790154.0157612822)
([(-392384, -48400), (-392144, -48400)], 790477.3391108455)
([(-49296, -392448), (-49120, -392368)], 790962.6350409512)
([(390704, -69280), (390688, -69088)], 793548.4835749435)
([(267120, -293888), (267280, -293872)], 794383.5309715748)
([(370992, 143424), (371216, 143408)], 795704.2922096812)
([(174208, -359104), (174272, -358880)], 798084.8067721466)
([(-277824, -286896), (-277712, -286672)], 798498.9064513224)
([(389920, -87184), (389952, -87008)], 799088.994541337)
([(-374432, 142896), (-374256, 142992)], 801414.8071595492)
([(257536, -307344), (257648, -307152)], 801885.235946236)
([(299376, -267984), (299520, -268032)], 803734.766390134)
([(383824, -120544), (384016, -120464)], 804775.2105859716)
([(384016, -120464), (384032, -120304)], 804901.8480048985)
([(395984, 74032), (395904, 74256)], 805652.5247679362)
([(-394912, -80272), (-394704, -80384)], 805793.8946529524)
([(261168, -306832), (261248, -306672)], 805795.0497357568)
([(252240, 314192), (252128, 314400)], 805924.9525893969)
([(401776, -38624), (401952, -38768)], 807445.5001064163)
([(195232, -354448), (195168, -354304)], 809161.020862997)
([(378160, -145168), (378384, -145264)], 810376.1908196058)
([(405024, -25744), (405056, -25536)], 811701.4775979712)
([(-342160, 224096), (-342016, 224256)], 817995.3301479071)
([(-342880, 223600), (-342928, 223808)], 818844.6453546775)
([(-234224, 336224), (-234288, 336432)], 819737.5146253172)
([(385888, 138016), (386096, 137984)], 819838.5855076353)
([(345456, -222960), (345696, -222960)], 822517.93319876)
([(302896, 278384), (302880, 278608)], 822924.468659258)
([(78544, 404272), (78592, 404480)], 823875.9130205623)
([(135024, -389344), (135200, -389392)], 824288.0507042005)
([(-377520, -165728), (-377328, -165888)], 824478.4561207085)
([(136320, -389264), (136464, -389120)], 824798.6395430719)
([(-174976, -373968), (-175040, -373744)], 825581.2852699361)
([(400656, -103664), (400592, -103424)], 827577.092514715)
([(-322704, 260960), (-322512, 260912)], 829851.8409929948)
([(-184224, -371920), (-184256, -371680)], 829890.6486330302)
([(106336, -401280), (106528, -401184)], 830216.5970240973)
([(-368992, -191136), (-368864, -190976)], 830927.8333314692)
([(-302224, 285904), (-302080, 285792)], 831877.1791206971)
([(111952, -400672), (112144, -400736)], 832150.1233514706)
([(-76432, -409584), (-76240, -409424)], 833116.3598593337)
([(347456, -230576), (347376, -230368)], 833823.0603837565)
([(362832, -205968), (362752, -205760)], 834261.4140905056)
([(380240, -171280), (380464, -171344)], 834303.1715889545)
([(265056, 322672), (265248, 322640)], 835254.4152558723)
([(94528, -407024), (94720, -407008)], 835740.9520120425)
([(416560, 38656), (416800, 38736)], 836945.8850882624)
([(-213840, -361136), (-213904, -360928)], 839250.4844069966)
([(-166192, -385680), (-166128, -385456)], 839694.77418202)
([(347712, 235872), (347808, 236032)], 840500.7208673039)
([(-369856, 200544), (-370000, 200752)], 841680.101576115)
([(-56800, 417072), (-56752, 417280)], 842043.5394473472)
([(-256720, 334352), (-256512, 334496)], 843068.6785634416)
([(-421328, 19808), (-421328, 19968)], 843594.2686238964)
([(421696, 23632), (421920, 23648)], 844939.8522189837)
([(-285840, 311568), (-285680, 311616)], 845572.8418444302)
([(-239248, 348896), (-239008, 348896)], 845956.5686193819)
([(-416544, 78688), (-416560, 78928)], 847882.7351041043)
([(97136, 413184), (97296, 413008)], 848762.076160724)
([(336992, -258704), (337072, -258544)], 849651.575911141)
([(-337200, -258736), (-337152, -258512)], 849880.0712260262)
([(309056, -291664), (309264, -291568)], 849987.7842678345)
([(-94384, 414480), (-94160, 414560)], 850209.5137724684)
([(-94160, 414560), (-94064, 414720)], 850372.6296310897)
([(-424144, 40704), (-423920, 40784)], 851969.9833050058)
([(377712, -196832), (377936, -196752)], 852004.8681701301)
([(199024, 376976), (199232, 377008)], 852701.4379865071)
([(367744, 215920), (367648, 216128)], 852916.7133651684)
([(125200, -408720), (125216, -408544)], 854768.1692846332)
([(333648, 267056), (333680, 267264)], 854882.7652093554)
([(333680, 267264), (333824, 267296)], 855170.1514000769)
([(202272, 376656), (202272, 376832)], 855219.2824130523)
([(-53920, -424224), (-53696, -424272)], 855293.3517655316)
([(-414928, -107696), (-414704, -107712)], 857140.5176751136)
([(62704, -424592), (62720, -424448)], 858254.1014964958)
([(203120, 378544), (203328, 378688)], 859418.5777554461)
([(-429440, -17568), (-429472, -17376)], 859622.5591408564)
